marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,37000337,R3DT59XH7HXR9K,B00303FI0G,529320574,Arthur Court Paper Towel Holder,Kitchen,5,0,0,N,Y,Beautiful. Looks great on counter,Beautiful.  Looks great on counter.,31/08/15
US,15272914,R1LFS11BNASSU8,B00JCZKZN6,274237558,Olde Thompson Bavaria Glass Salt and Pepper Mill Set with Brushed Stainless Steel Top - In a Gift Box,Kitchen,5,0,1,N,Y,Awesome & Self-ness,"I personally have 5 days sets and have also bought 2 sets for other people in my home. The two other sets I have decided to keep for myself. the purpose of keeping them for myself is to use them for other other than salt and pepper. they stay perfect, I use them constantly! I have a couple of people here that use them, say that there's just awesome. I did have a salt shaker that had a little problem converting from sea salt to Himalaya salt.  did not fall out correctly so what I did was I just took a top of part which is really simple it's like five pieces total and just kind of cleaned around the Teflon and you know that the salt buildup from there was caused by humidity,  cleaned out, my gosh it's unbelievable how much better, its almost better than new Thank You Bavaria these are top of the line in my book I hope in the near future you have some more come out.  I sure would like to buy some more and some for my kids and family for Christmas otherwise I'm keeping what I have. I think I deserve it. thank you.... don't know if this makes much sense doesn't need to, self-ness !!!",31/08/15
US,36137863,R296RT05AG0AF6,B00JLIKA5C,544675303,Progressive International PL8 Professional Mandolines,Kitchen,5,0,0,N,Y,Fabulous and worth every penny,Fabulous and worth every penny. Used for cleaning corn from the cob in seconds :) Would recommend its purchase,31/08/15
US,43311049,R3V37XDZ7ZCI3L,B000GBNB8G,491599489,Zyliss Jumbo Garlic Press,Kitchen,5,0,1,N,Y,Five Stars,A must if you love garlic on tomato marinara sauce.,31/08/15
US,13763148,R14GU232NQFYX2,B00VJ5KX9S,353790155,"1 X Premier Pizza Cutter - Stainless Steel 14"" Heavy Duty Rocker Style Blade. Commercial Grade Gourmet Slicer .",Kitchen,5,0,0,N,Y,Better than sex,Worth every penny! Buy one now and be a pizza slice master!!,31/08/15
US,19009420,RZQH4V7L2O1PL,B00HYB5YY0,432241873,CHEF Aluminum,Kitchen,1,1,1,N,Y,Does not work on Induction Stoves! (NOT suitable for all type of surfaces),http://google.com The description says &#34;Suitable for all type of surfaces&#34; but it is not true!<br /><br />We ordered this item for our large family (we like to cook a lot) but this does not work as advertised!<br /><br />This pressure cooker does NOT work for induction stoves.  I called the manufacturer (Magefesa) and they confirmed that it will not work. We are exchanging this pot for the Stainless Steel version that is supposed to work on induction stoves.  Magefesa said that the 14.3 quart pot will work on induction stoves and the description here on Amazon clearly states that it will work on induction stoves.<br /><br />Thankfully Amazon has a great return process so they will send a truck to pick this up and they will send the other version in a couple days.,31/08/15
US,40599388,R1F8JMOSPJ3KO7,B000HEBAV2,584680984,Presto Dual Profry Immersion Element Deep Fryer,Kitchen,5,0,0,N,Y,Awesome! First fryer I have owned and what a ...,Awesome! First fryer I have owned and what a luxury item! Love the magnetic cord attachment. The baskets are a great size for home use and gets up to temp no problem. Couldn't be happier with my purchase.,31/08/15
US,22719359,R1ZISGY2BWW4Z5,B0012DS4GG,772637306,Rubbermaid Produce Saver Food Storage Container,Kitchen,5,0,0,N,Y,Five Stars,Very good item. Quick delivery.,31/08/15
US,47478640,R17PW4I3AE5WZW,B00FLQ4EE6,755416578,Cuisinart 12-Piece Knife Set,Kitchen,5,0,0,N,Y,Five Stars,sharp and look great,31/08/15
US,34195504,R3D93G1KTP6A8P,B00DBS9OTG,648762742,"Kegco 6"" Stainless Steel Wall Mount Drip Tray - Amazon Parent Product",Kitchen,3,0,0,N,Y,Three Stars,Should have come with a kit to install drain tube system.,31/08/15
